Attached 3 probes
TIME     PID      COMM                 CAP  CAP_NAME             NOTE
134      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
136      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
137      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
139      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
139      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
141      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
143      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
144      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
146      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
147      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
148      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
149      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
149      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
149      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
149      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
149      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
149      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
151      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
152      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
153      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
155      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
158      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
158      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
160      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
162      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
163      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
164      2447212  cpptools             21   SYS_ADMIN            (non-runtime process)
